abs_pretanh,actor_ent,actor_logprob,actor_loss,actor_loss_bc,batch_reward,buffer_size,critic_loss,critic_q1,critic_q2,critic_target_q,episode,episode_length,episode_reward,fps,frame,max_abs_pretanh,step,total_time
3.983551313433796,-28.676084518432617,30.592636978149415,-5.409005594402552,0.0,1.3608870774507522,126751.0,1.4874602925181388,4.931986693069339,4.939068373695016,5.0583197803497315,7.0,245.0,0.0,8.238352364850135,2000,5.115990824401378,1000.0,244.8405478000641
4.462428875923157,-28.676084518432617,30.746947479248046,-9.024446687698365,0.0,0.3313588002994657,127731.0,0.31628541558980944,8.667180119514466,8.66714344882965,8.670817520141602,14.0,245.0,0.0,22.84474033742808,4000,5.86834825515747,2000.0,330.6371030807495
5.234639534950256,-28.676084518432617,30.681637607574462,-12.293819751739502,0.0,0.260784921631217,128711.0,1.0597910419106484,11.634313230514527,11.634548803329468,11.638523151397704,21.0,245.0,0.125,26.285994549791877,6000,11.266856286048888,3000.0,405.20152616500854
5.453344895362854,-28.676084518432617,30.721717262268065,-16.63634923362732,0.0,0.344112672328949,129691.0,2.5326864005327225,15.670768957138062,15.670458646774293,15.676451435089112,28.0,245.0,0.25,24.65128319912864,8000,14.155676805496215,4000.0,484.7105724811554
5.510328405380249,-28.676084518432617,30.644305187225342,-22.410118270874023,0.0,0.35854441264271736,130671.0,5.6206810188293455,20.988107849121093,20.98817512130737,20.99511294937134,35.0,245.0,0.0,24.160383856887638,10000,14.430304105758667,5000.0,565.8351120948792
5.761704969406128,-28.676084518432617,30.60420204925537,-27.279351833343505,0.0,0.3241153710186481,131651.0,9.38517405796051,25.943507503509522,25.943704093933107,25.950475704193114,42.0,245.0,0.125,25.859910678695158,12000,16.75492623901367,6000.0,641.6281046867371
5.518636480331421,-28.676084518432617,30.570647407531737,-32.85033863449097,0.0,0.42209182035923004,132771.0,11.932021406173707,31.154220935821535,31.154318584442137,31.164241569519042,49.0,245.0,0.625,23.620248037209706,14000,14.8082963848114,7000.0,724.6077597141266
5.5612180032730105,-28.676084518432617,30.59007012939453,-40.37288200378418,0.0,0.46882879388332366,133751.0,12.995745673179627,38.41465828704834,38.41446772003174,38.421779579162596,57.0,248.88888888888889,0.2222222222222222,31.709755051580373,16000,15.623199146270752,8000.0,795.2484827041626
5.31603053188324,-28.676084518432617,30.469853115081786,-46.99287523651123,0.0,0.5101350488066674,134731.0,14.70100053215027,45.085806159973146,45.08571614837646,45.09481036376953,64.0,245.0,0.25,22.22214832412178,18000,16.840238445281983,9000.0,883.4487769603729
5.41064825630188,-28.676084518432617,30.500971839904786,-50.93154978942871,0.0,0.5809430738091469,135711.0,14.976567242622375,49.19413034057617,49.194882217407226,49.20129764556885,71.0,245.0,0.75,28.172308900741537,20000,16.36252301979065,10000.0,953.0206401348114
4.949943218231201,-28.676084518432617,30.428310955047607,-55.0335145111084,0.0,0.7130106071233749,136691.0,14.376311367034912,53.20682461547852,53.207084495544436,53.214247413635256,78.0,245.0,0.875,22.6484111336071,22000,16.113886081695558,11000.0,1039.5609283447266
4.763023691177368,-28.676084518432617,30.3866602935791,-60.03929653930664,0.0,0.8046188035011291,137671.0,16.255803352355958,58.19899373626709,58.198821342468264,58.20575619506836,85.0,245.0,0.375,27.639228771916333,24000,15.557045295715332,12000.0,1110.4746298789978
4.702745270729065,-28.676084518432617,30.28901038360596,-63.75355690765381,0.0,0.7627703548669815,138651.0,17.93656948661804,62.0321794128418,62.03263217163086,62.03993799591064,92.0,245.0,0.375,22.491461343307233,26000,15.565192995071412,13000.0,1197.6188125610352
4.720327681541443,-28.676084518432617,30.277145317077636,-67.20923872375488,0.0,0.8295312912464142,139771.0,15.297511427879334,65.50321565246583,65.5039023513794,65.50683224487305,99.0,245.0,0.875,28.91056245544529,28000,16.18357550430298,14000.0,1265.4141047000885
4.653513798713684,-28.676084518432617,30.297555599212647,-71.86634461975098,0.0,0.8996084458827972,140751.0,15.23040538406372,69.89554512023926,69.89602351379395,69.90478018188476,107.0,248.88888888888889,0.7777777777777778,26.221051323769526,30000,16.88154983139038,15000.0,1350.841649055481
4.373332858085632,-28.676084518432617,30.25448274230957,-76.01629998779296,0.0,1.0028150866031647,141731.0,13.541148250579834,74.17521133422852,74.17507191467286,74.18088984680176,114.0,245.0,0.75,26.23298242085757,32000,15.842755048751831,16000.0,1425.5567536354065
4.312672096729279,-28.676084518432617,30.212277667999267,-78.33917388916015,0.0,1.029111107826233,142711.0,11.694222980499267,76.69331820678711,76.69353242492676,76.69681564331054,121.0,245.0,0.5,24.407535880543875,34000,15.942938913345337,17000.0,1505.8598217964172
4.378486496925354,-28.676084518432617,30.241119552612304,-79.41274436950684,0.0,1.0296351178884506,143691.0,14.034282341957093,78.01197621154785,78.01237142944336,78.01533944702149,128.0,245.0,0.75,23.542930589332272,36000,17.079114152908325,18000.0,1589.1119902133942
4.477092481613159,-28.676084518432617,30.254017711639403,-80.87720082092285,0.0,1.0565992183685302,144671.0,17.686743606567383,79.5060174407959,79.50586920166016,79.50995361328125,135.0,245.0,0.75,26.165754308336677,38000,18.24313610649109,19000.0,1664.0190620422363
4.625868112564087,-28.676084518432617,30.274448535919188,-83.57840028381348,0.0,1.0583711924552917,145651.0,16.57691221523285,82.1355806274414,82.13603038024903,82.13962359619141,142.0,245.0,0.375,22.084507101581487,40000,18.52310778427124,20000.0,1752.7690625190735
